doc_code	item_id	title	snippet	text_url	enhanced_url
nencho_shikata_2025	s040-part-08	nencho all (part 8/28)	なお、税務署から送付された令和７年分の住宅借入金等特別控除申告書（ 「平成 ３ ７ 年分」と記載され たものを含みます。以下同じです。 ）の用紙の下の部分が控除証明書になっていますから、この控除の 適用を受けようとする人は、令和７年分の住…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-08.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-08.html
nencho_shikata_2025	s040-part-09	nencho all (part 9/28)	控 除 限度額 令 和３年 １月１日から 令和３年 １ ２ 月 ３ １ 日まで ① バリアフリー改修工事等に係 る費用 １， ０００ 万 円 （注１ ） １ ．０ ％ ５年 １ ２ ．５ 万 円 （注 3） ② うち高齢者等居住改修工事 …	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-09.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-09.html
nencho_shikata_2025	s040-part-10	nencho all (part 10/28)	なお、所得金額調整控除の適用を受けない人については、 「給与所得控除後の給与等の金額」が「給与 所得控除後の給与等の金額（調整控除後） 」となります。 年末調整計算シート [page 38] 年末調整のしかた・年 税 額 の 計 算・過不…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-10.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-10.html
nencho_shikata_2025	s040-part-11	nencho all (part 11/28)	⑴ 年末調整の計算が終わり、過納額や不足額の精算をした場合には、その内容を年末調整をした月分の 所得税徴収高計算書（納付書）に記載した上、徴収税額を納付します。 ⑵ その精算をした月分の所得税徴収高計算書（納付書）には、次のように記入しま…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-11.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-11.html
nencho_shikata_2025	s040-part-12	nencho all (part 12/28)	２ 源泉控除対象配偶者、源泉控除対象親族、障害者（特別障害者を含みます。 ）又は同居特別障害者が国外居住 親族である場合には、扶養控除等（異動）申告書に親族関係書類（その国外居住親族である源泉控除対象親族が 年齢 30 歳以上 70 歳未…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-12.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-12.html
nencho_shikata_2025	s040-part-13	nencho all (part 13/28)	2,524,000 2,528,000 1,686,800 2,724,000 2,728,000 1,826,800 2,924,000 2,928,000 1,966,800 2,528,000 2,532,000 1,689,600…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-13.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-13.html
nencho_shikata_2025	s040-part-14	nencho all (part 14/28)	3,200,000 3,204,000 2,160,000 3,400,000 3,404,000 2,300,000 3,600,000 3,604,000 2,440,000 3,204,000 3,208,000 2,162,800…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-14.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-14.html
nencho_shikata_2025	s040-part-15	nencho all (part 15/28)	4,268,000 4,272,000 2,974,400 4,468,000 4,472,000 3,134,400 4,668,000 4,672,000 3,294,400 4,272,000 4,276,000 2,977,600…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-15.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-15.html
nencho_shikata_2025	s040-part-16	nencho all (part 16/28)	4,940,000 4,944,000 3,512,000 5,140,000 5,144,000 3,672,000 5,340,000 5,344,000 3,832,000 4,944,000 4,948,000 3,515,200…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-16.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-16.html
nencho_shikata_2025	s040-part-17	nencho all (part 17/28)	5,620,000 5,624,000 4,056,000 5,820,000 5,824,000 4,216,000 6,020,000 6,024,000 4,376,000 5,624,000 5,628,000 4,059,200…	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/text/nencho_shikata_2025/s040-part-17.txt	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-guide-db/enhanced/nencho_shikata_2025/s040-part-17.html
