id	pid	page_start	page_end	snippet	core
p298-9.1	9.1	298	298	事業再編に関する法的又は普遍的に認められた定義はない。そこで、本章では、 事業再編とは、関連企業間における商業上又は財務上の関係を、国境を跨	packs/ch09-pack-00.txt
p298-9.2	9.2	298	298	事業再編には、しばしば、将来的に利益を生む可能性のある無形資産やリス ク、機能の集中化を伴うことがあり、一般的には次のものが挙げられるかもし	packs/ch09-pack-00.txt
p298-9.3	9.3	298	299	また、事業法人（製造会社又は販売会社など）に、より多くの無形資産やリス クを分散するような事業再編も存在するかもしれない。また、事業再編は、	packs/ch09-pack-00.txt
p299-9.4	9.4	299	299	民間からの報告によれば、事業再編の目的には、グローバルな組織の登場を後 押ししてきたウェブを基盤とした技術の進歩を活用したシナジーや規模の経	packs/ch09-pack-00.txt
p299-9.5	9.5	299	299	本章は、事業再編に係る移転価格の側面、つまり、OECD モデル租税条約第 9 条（特殊関連企業の課税）及び本ガイドラインの事業再編への適用等	packs/ch09-pack-00.txt
p299-9.6	9.6	299	299	典型的には、事業再編により、再編の直後又は再編後数年に渡り、多国籍企業 グループのメンバーの間で潜在的利益の再配分が生じる。第 9 条との関	packs/ch09-pack-00.txt
p299-9.7	9.7	299	299	本章は、OECD モデル租税条約第 9条の文脈における関連企業間の取引のみを 対象としており、同第 7 条に基づく単一企業内の帰属所得につい	packs/ch09-pack-00.txt
p299-9.8	9.8	299	300	国内法上の濫用防止規定及びタックスヘイブン税制は、本章の範囲には含まれ ない。また、支払費用の損金性に関するルールや独立企業間資本支出に対す	packs/ch09-pack-00.txt
p300-9.9	9.9	300	300	本章は、独立企業原則及び本ガイドラインが、再編又は再編後の取引と、再編 前の取引とで異なる形で適用されるものではなく、また、異なって適用され	packs/ch09-pack-00.txt
p300-9.10	9.10	300	300	事業再編は、価値ある無形資産など、何らかの価値あるもののクロスボーダ ーでの移転を伴うかもしれないが、常にそうとは限らない。それはまた（ある	packs/ch09-pack-00.txt
p300-9.11	9.11	300	301	移転価格分析の目的は、OECD モデル租税条約第 9 条の下で、事業再編を構成 する取引に関して設けられ又は課されている条件が、独立企業間で	packs/ch09-pack-00.txt
p301-9.12	9.12	301	301	独立企業原則では、関連者間で設けられ又は課されている条件の評価がそれぞ れのレベルごとに求められている。例えば、グループレベルのシナジー拡大	packs/ch09-pack-00.txt
p301-9.13	9.13	301	301	事業再編に独立企業原則を適用するには、事業再編を構成する関連者間取引 を正確に描写するために、まず、関連者間取引について、事業再編に関わる関	packs/ch09-pack-00.txt
p301-9.14	9.14	301	301	当事者間の商業上又は財務上の関係の特定、特に、事業再編の独立企業間条 件の決定に関するものの特定は、次の各節に従って分析される。  事業再	packs/ch09-pack-00.txt
p301-9.15	9.15	301	302	事業再編は様々な形態をとりうるため、グループ内の複数メンバーが関係す る場合もある。例えば、単純な再編前取決めでは、フルフレッジ製造会社が製	packs/ch09-pack-00.txt
p302-9.16	9.16	302	302	事業再編に当たって、多国籍企業グループ内の再編対象となるメンバーに独 立企業間対価が支払われるべきか決定するため、また支払われるべきであると	packs/ch09-pack-00.txt
p302-9.17	9.17	302	302	多国籍企業が事業再編の条件を書面化（例えば、契約書上での合意、書簡及 び／又はその他の連絡文書）している場合、合意事項は、事業再編を構成する	packs/ch09-pack-00.txt
p302-9.18	9.18	302	302	事業再編を構成する取引の正確な描写には、再編前後の関係当事者の経済的 に重要な活動及び責任、使用資産、引き受けるリスクを特定するための機能分	packs/ch09-pack-00.txt
p302-9.19	9.19	302	303	リスクは、事業再編において極めて重要である。通常、自由市場において、 ビジネスチャンスに伴うリスクの引き受けは、将来の収益の可能性に影響を与	packs/ch09-pack-00.txt
p303-9.20	9.20	303	303	第 1 章 D.1.2.1 で示されたリスク分析の枠組みや詳細な指針は、事業再編 におけるリスク分析、特に、コントロール能力及び資金能力を参	packs/ch09-pack-00.txt
p303-9.21	9.21	303	304	二つ目の例は、事業再編の一環としての計画的な信用リスクの移転に係るも のである。第 1 章 D.1.2.1 に基づく分析は、再編前後の契約条	packs/ch09-pack-00.txt
p304-9.22	9.22	304	304	関連者間取引のリスク分析において、重要な問題の一つは、あるリスクが経 済的に重要であるか否か、すなわち、当該リスクが、重要な収益を生み出す可	packs/ch09-pack-00.txt
p304-9.23	9.23	304	305	例えば、フルフレッジ販売業者が、リスク限定販売業者又はコミッショネア に転換され、結果として、再編対象メンバーの在庫リスクが削減される場合に	packs/ch09-pack-00.txt
p305-9.24	9.24	305	305	民間は、多国籍事業は、その製品や部門にかかわらず、製造、研究及び販売 の機能を集約して管理・運営するために事業再編を行っていると説明している	packs/ch09-pack-01.txt
p305-9.25	9.25	305	306	例えば、多国籍企業グループが、事業再編により、複数の関連者の調達業務 を一社に集約することがあるかもしれない。パラグラフ 1.180の指針と	packs/ch09-pack-01.txt
p306-9.26	9.26	306	306	シナジーが見込まれることが事業再編の動機であるという事実は、必ずしも、 再編後のグループ収益の効果的な拡大を意味するものではないかもしれない	packs/ch09-pack-01.txt
p306-9.27	9.27	306	306	独立企業原則は、独立企業は、取引を行う前に、選択しようとしている条件 と選択しうる他の条件とを比較し、ビジネス目的により合致するような明らか	packs/ch09-pack-01.txt
p306-9.28	9.28	306	306	このように、独立企業原則を適用するに当たっては、税務当局は、第 1 章 D の指針に基づく正確な描写によって各取引を評価すべきであり、選択し	packs/ch09-pack-01.txt
p306-9.29	9.29	306	307	独立企業間でも、再編対象企業に、再編の条件、例えば、契約終了を受け入 れる以外、（以下 F で議論されるような補償があろうとなかろうと）明ら	packs/ch09-pack-01.txt
p307-9.30	9.30	307	307	独立企業であれば、（将来の商業上及び市場の条件、様々な選択肢の潜在的 利益や再編対価を含む全ての関係条件を考慮して）再編の条件を受け入れるこ	packs/ch09-pack-01.txt
p307-9.31	9.31	307	307	実際に利用できる選択肢という考え方は、納税者に実際に利用できる選択肢 を全て文書化するよう求めるものではない。むしろ、その意図は、明らかによ	packs/ch09-pack-01.txt
p307-9.32	9.32	307	307	納税者は、マスターファイル（第 5 章別添 I 参照）において、その年度中に 発生した重要な事業再編取引を詳述することが求められる。また、ロ	packs/ch09-pack-01.txt
p307-9.33	9.33	307	307	移転価格文書化の一環として、多国籍企業グループは、関連する取引が発生 する前に、事業再編に関する決定及び意図、特に重要なリスクを引き受けるの	packs/ch09-pack-01.txt
p307-9.34	9.34	307	308	多国籍企業は、その企業自身がふさわしいと考えるように自社の事業を自由 に組織できる。税務当局には、多国籍企業に対して、その構成をどのように設	packs/ch09-pack-01.txt
p308-9.35	9.35	308	308	多国籍企業グループは、多国籍企業グループであるという事実と統合的な方 法で事業展開できるという事実の強みを活用しながら、独立企業ではほとんど	packs/ch09-pack-01.txt
p308-9.36	9.36	308	309	第 1 章 D.2 の否認に係る指針に基づいて事業再編の商業的合理性を評価する に当たって、取引を個々に見るべきか、それとも、経済的に相互関	packs/ch09-pack-01.txt
p309-9.37	9.37	309	309	多国籍企業グループの事業再編には、グループレベルの事業上の理由があり うる。しかし、独立企業原則は、グループのメンバーを、一つに統合された事	packs/ch09-pack-01.txt
p309-9.38	9.38	309	309	OECD モデル租税条約第 9 条に基づけば、税務上の恩典を受けるための事業 再編であるという事実それ自体から、当該取決めが独立企業間のもの	packs/ch09-pack-01.txt
p309-9.39	9.39	309	310	独立企業は、事業上の取決め変更によって潜在的収益や期待将来収益が減少 したからといって、必ずしも対価を収受するわけではない。独立企業原則は、	packs/ch09-pack-01.txt
p310-9.40	9.40	310	310	本ガイドラインにおいて、「潜在的収益」は「将来期待収益」を意味する。 場合によっては、損失を含むかもしれない。無形資産や継続事業の移転に対す	packs/ch09-pack-01.txt
p310-9.41	9.41	310	310	事業再編の文脈において、潜在的収益は、単に、再編前取決めが永久に継続 したならば発生したであろう収益や損失と解釈されるべきではない。一方、仮	packs/ch09-pack-01.txt
p310-9.42	9.42	310	310	B で議論したとおり、再編自体にある形式の対価が生じるか否かを独立企業 原則に照らして決定するためには、当該再編の理解が必須であり、これには	packs/ch09-pack-01.txt
p310-9.43	9.43	310	310	リスクの移転価格的側面に関する一般的指針は第 1 章 D.1.2.1 に記載されて おり、再編後にリスクを配分された当事者が、リスクをコント	packs/ch09-pack-01.txt
p310-9.44	9.44	310	310	例えば、フルフレッジの製造業者が受託製造業者に転換するとする。この場 合、コストプラスによる対価が、再編後の受託製造事業の独立企業間価格であ	packs/ch09-pack-01.txt
p310-9.45	9.45	310	311	別の例として、フルフレッジの販売業者が、長期契約に従って、ある種の取 引を行っているとする。これらの取引に関する長期契約上の権利に基づき、販	packs/ch09-pack-01.txt
p311-9.46	9.46	311	312	独立企業原則に基づけば、当事者の権利やその他の資産、両方のビジネスモ デル（フルフレッジ販売業者及び低リスク販売業者）における販売者と関連者	packs/ch09-pack-01.txt
p312-9.47	9.47	312	312	シナリオ 1 では、販売会社は、相対的に低いが安定した収益率と引換えに不 確実性の大きい潜在的収益を譲渡している。独立企業であれば進んでその	packs/ch09-pack-02.txt
p312-9.48	9.48	312	312	以下の E.1から E.3では、事業再編によって一般的に生じうる、有形資産、無 形資産とその権利、事業（継続事業）といった、いくつかの典型的	packs/ch09-pack-02.txt
