id	date	court	title	topics	keywords	laws
10860	2008-01-15	大阪高裁	相続税	法人税,所得税,相続税	過少申告加算税,信義則	
10861	2008-01-16	東京地裁	法人税	法人税	過少申告加算税,損金算入	国税通則法23条,国税通則法65条,行政事件訴訟法14条
10863	2008-01-17	東京地裁	所得税	法人税,所得税,CFC	過少申告加算税	国税通則法65条,租税特別措置法40条の4
10871	2008-01-25	東京地裁	法人税	法人税	重加算税,損金算入,寄附金	国税通則法68条,法人税法37条
10875	2008-01-30	福岡高裁	更正	法人税,消費税	重加算税,過少申告加算税,必要経費,損金算入,信義則	
10876	2008-01-30	東京地裁	法人税	法人税,CFC	過少申告加算税,租税回避	国税通則法65条,法人税法22条,租税特別措置法66条の6
10878	2008-01-30	さいたま地裁	法人税	法人税,消費税	過少申告加算税,損金算入,寄附金,交際費,青色申告	法人税法22条
10881	2008-01-31	広島高裁	法人税	法人税,消費税	重加算税,青色申告	国税通則法68条,法人税法22条
10883	2008-02-01	大阪地裁	法人税	法人税,所得税	過少申告加算税,損金算入	
10888	2008-02-06	東京地裁	法人税	法人税	重加算税,青色申告	国税通則法65条,国税通則法68条,法人税法22条,租税特別措置法66条の4
10893	2008-02-15	高松高裁	法人税	法人税	過少申告加算税	
10895	2008-02-15	東京地裁	法人税	法人税,消費税	重加算税,過少申告加算税,損害賠償	国税通則法65条
10898	2008-02-20	東京高裁	訴えの追加的併合申立各	法人税,所得税,相続税	過少申告加算税,無申告加算税,寄附金,財産評価	所得税法34条,所得税法36条,法人税法22条,法人税法37条
10900	2008-02-21	福岡高裁	課税処分	法人税,所得税,消費税	重加算税,仕入税額控除,役員報酬,青色申告,損害賠償	
10901	2008-02-22	東京地裁	法人税	法人税	過少申告加算税,損金算入,寄附金	国税通則法65条,法人税法37条
10903	2008-02-27	東京高裁	法人税更正決定義務付け請求	法人税,所得税	損金算入	国税通則法23条
10907	2008-02-28	東京地裁	不当利得返還請求	法人税,消費税	重加算税,過少申告加算税,不当利得	
10911	2008-03-05	名古屋地裁	所得税	法人税,所得税	過少申告加算税	
10912	2008-03-06	東京高裁	法人税	法人税,相続税	過少申告加算税,損金算入,寄附金,路線価	法人税法37条
10918	2008-03-13	広島地裁	行政処分	法人税	青色申告,国家賠償	国税通則法23条
10922	2008-03-18	大分地裁	文書提出命令申立	法人税	信義則	
10924	2008-03-25	千葉地裁	源泉所得税納税告知	法人税,所得税,相続税,贈与税	必要経費,青色申告,信義則	
10925	2008-03-25	東京高裁	法人税	法人税	過少申告加算税,損金算入,益金算入,損害賠償	法人税法22条
10938	2008-04-15	名古屋高裁	法人税重加算税賦課	法人税	重加算税,過少申告加算税	
10940	2008-04-16	広島高裁	法人税	法人税,所得税	過少申告加算税,益金算入	法人税法22条
10949	2008-04-23	那覇地裁	法人税	法人税,所得税,消費税	重加算税,過少申告加算税,青色申告	国税通則法65条,国税通則法68条
10953	2008-04-25	熊本地裁	法人税	法人税	過少申告加算税,青色申告	
10955	2008-04-25	最高裁	法人税及び受理申立	法人税		
10957	2008-05-09	高松高裁	法人税各	法人税,CFC	信義則,租税回避	租税特別措置法66条の6
10962	2008-05-28	福岡高裁	文書提出命令申立却下決定に対する即時抗告	法人税	過少申告加算税,役員報酬,信義則	
10965	2008-06-05	最高裁	法人税受理	法人税		
10966	2008-06-11	東京高裁	法人税	法人税	過少申告加算税,損金算入,役員報酬,信義則	国税通則法23条
10967	2008-06-12	大阪高裁	法人税の	法人税	過少申告加算税,損金算入	
10968	2008-06-12	東京地裁	法人税	法人税,消費税	重加算税,過少申告加算税,寄附金,青色申告	国税通則法65条,国税通則法68条,法人税法37条,消費税法30条
10969	2008-06-13	最高裁	法人税及び受理	法人税		
10970	2008-06-16	名古屋高裁	消費税	法人税,所得税,消費税	無申告加算税	
10972	2008-06-25	福岡高裁		法人税	役員報酬	法人税法22条
10974	2008-06-26	東京地裁	法人税	法人税	重加算税,過少申告加算税,損金算入	国税通則法68条,法人税法22条,法人税法34条
10975	2008-06-26	東京高裁	法人税	法人税	重加算税,損金算入,寄附金,租税回避	国税通則法68条,法人税法37条
10977	2008-06-27	東京地裁	所得税	法人税,所得税	過少申告加算税,損金算入	国税通則法65条
10980	2008-06-27	最高裁	法人税及び受理	法人税		
10987	2008-07-10	東京高裁	所得税	法人税,所得税,CFC	過少申告加算税,租税回避	国税通則法65条,租税特別措置法40条の4
10988	2008-07-11	東京地裁	法人税	法人税,所得税	過少申告加算税,役員給与,損害賠償	国税通則法65条,法人税法22条,法人税法37条
10989	2008-07-11	大阪地裁	法人税	法人税,移転価格	過少申告加算税,寄附金	租税特別措置法66条の4
10993	2008-07-17	東京高裁	法人税	法人税,CFC	過少申告加算税,損金算入,益金算入,信義則,租税回避	租税特別措置法66条の6
10996	2008-07-23	東京地裁	相続税	法人税,相続税,贈与税	過少申告加算税,財産評価	国税通則法65条,相続税法22条
10997	2008-07-24	大阪地裁	所得税納税告知処分	法人税,所得税		
11001	2008-08-06	那覇地裁	法人税	法人税	損金算入,青色申告	法人税法22条
