id	number	date_iso	tax_types	issue_hint	url
70_14	裁決事例集No.70-14	2003-01-31	法人税	トップに戻る 2 争点 本件役員報酬額のうち、法人税法第34条第1項に規定する不相当に高額な部分の金額として本件各事業年度の所得の金額の計算上、損金の額に算入されない金額はいくらか 3 争点に対する当事者の主張 （1）原処分庁 イ Eの職務は、主に従業員からの相談を受けることであり、他に取締役として決められた職務はない。	https://www.kfs.go.jp/service/JP/70/14/index.html
70_15	裁決事例集No.70-15	2002-04-01	法人税	）との間で行った土地の交換取引について、法人税法第50条《交換により取得した資産の圧縮額の損金算入》の適用が認められるか否かを争点とする事案である。	https://www.kfs.go.jp/service/JP/70/15/index.html
70_16	裁決事例集No.70-16	1999-07-01	法人税	）第57条《青色申告書を提出した事業年度の欠損金の繰越し》の規定の適用があるか否かを争点とする事案である。	https://www.kfs.go.jp/service/JP/70/16/index.html
71_04	裁決事例集No.71-4	2004-12-16	法人税	（4）争点 イ 請求人は、原処分に「不服がある者」（国税通則法第75条第1項）に当たるか。	https://www.kfs.go.jp/service/JP/71/04/index.html
71_17	裁決事例集No.71-17	2005-06-13	法人税,消費税	（5）争点 イ 法人税関係及び消費税等関係 本件では、法人税関係について、本件各旋盤に係る本件各事業年度における減価償却の可否が争われているところ、法人税法第31条第1項及び租税特別措置法第42条の6第1項の各文理からすると、特別償却を含む減価償却が認められるためには、当該法人が減価償却の対象となる資産をその事業年度末までに「取得し」、又は「有する」ことが必要であると解され、ここでいう「取得し」又は「有する」か否かの判断は、引渡しがされたか否かによると解する。	https://www.kfs.go.jp/service/JP/71/17/index.html
71_18	裁決事例集No.71-18	2003-03-01	法人税,消費税	（5）以上のとおり、本件の争点について原処分に違法はない。	https://www.kfs.go.jp/service/JP/71/18/index.html
71_19	裁決事例集No.71-19	2005-07-27	所得税,法人税	（5）争点 イ 請求人が、本件確定申告書に、本件源泉所得税額を法人税の額から控除を受けるべき所得税の額として記載しなかったことについて「やむを得ない事情」（法人税法第68条第4項）があるか。	https://www.kfs.go.jp/service/JP/71/19/index.html
71_20	裁決事例集No.71-20	2001-06-01	法人税	別紙2 当事者の主張 争点 建物を譲渡資産、土地を買換資産とする買換えの場合、措置法第65条の7に規定する、圧縮損の損金算入が認められるか否か 審査請求人 原処分は、以下の理由から本件特例の適用を誤った違法なものであり、全部の取消しを求める。	https://www.kfs.go.jp/service/JP/71/20/index.html
72_19	裁決事例集No.72-19	2001-04-01	法人税	）が、E社（以下「譲渡人」という。	https://www.kfs.go.jp/service/JP/72/19/index.html
72_22	裁決事例集No.72-22	2002-04-01	法人税	(5) 争点 過年度棚卸資産廃棄損の額を本件事業年度の損金の額に算入できるか否か。	https://www.kfs.go.jp/service/JP/72/22/index.html
72_23	裁決事例集No.72-23	2003-01-01	法人税	(4) 争点 本件債権放棄に係る債権額は「寄附金の額」（法人税法第37条第7項）に当たるか。	https://www.kfs.go.jp/service/JP/72/23/index.html
72_25	裁決事例集No.72-25	2001-04-01	所得税,法人税	）が発行済株式のすべてを所有する○○国領F島（以下「F島」という。	https://www.kfs.go.jp/service/JP/72/25/index.html
73_19	裁決事例集No.73-19	2006-04-28	法人税	(5) 争点 本件各信用保証料に係る争点は、同保証料のうち本件各事業年度末において未経過の保証期間に係るものは、損金の額に算入できないか否かであるが、本件各信用保証料が一定の契約に従い継続的に役務の提供を受けるため支出した費用に当たるか否かが具体的な争点となる。	https://www.kfs.go.jp/service/JP/73/19/index.html
73_20	裁決事例集No.73-20	2006-07-20	法人税	）が租税特別措置法（平成17年法律第21号による改正前のもの。	https://www.kfs.go.jp/service/JP/73/20/index.html
73_21	裁決事例集No.73-21	2001-03-31	法人税	(5) 争点 争点1 営業損失は措置法施行令第39条の12第8項の「所得」に含まれるか。	https://www.kfs.go.jp/service/JP/73/21/index.html
74_11	裁決事例集No.74-11	2004-01-01	法人税	）が、上記計上漏れについては争わないものの、別途損金の額に算入すべき費用があるなどと主張して、その全部の取消しを求めた事案であり、争点は、A社が、法人格否認の法理に基づき、破産会社を被告として、B社に対して有していた貸金債権の履行を求める訴訟を提起し、その請求を全部認容する判決が確定した場合において、本件事業年度内に発生した遅延損害金を本件事業年度の損金の額に算入することができるか否かである。	https://www.kfs.go.jp/service/JP/74/11/index.html
74_12	裁決事例集No.74-12	2003-08-01	法人税	(5) 争点 本件役員報酬勘定計上額の一部が役員賞与に該当するか否か。	https://www.kfs.go.jp/service/JP/74/12/index.html
74_13	裁決事例集No.74-13	2003-04-01	法人税	）の法人税の確定申告において、元取締役及び従業員2名に対する退職給与並びに請求人の前代表者及びその夫である元取締役に対する役員退職給与を損金の額に算入したのに対し、原処分庁が、上記についてはいずれも架空であり、上記についてはいずれも過大であるとして、法人税の更正処分並びに過少申告加算税及び重加算税の各賦課決定処分を行ったことについて、請求人がその一部の取消しを求めた事案であり、争点は次の3点である。	https://www.kfs.go.jp/service/JP/74/13/index.html
74_14	裁決事例集No.74-14	2001-02-20	法人税	）の理事長であったDに係る国税犯則取締法に基づく犯則調査において把握された請求人に関する課税資料等を基として請求人の法人税の更正処分等を行ったことに対し、請求人が、当該更正処分等は調査を行わずになされた違法な処分であることを主たる理由として、原処分の全部の取消しを求めた事案である。	https://www.kfs.go.jp/service/JP/74/14/index.html
