id	number	date_iso	tax_types	issue_hint	url
97_10	裁決事例集No.97-10	2014-11-10	法人税	(5) 争点 争点1 懇親会等及び祝賀会の損益は、請求人に帰属するか否か。	https://www.kfs.go.jp/service/JP/97/10/index.html
97_11	裁決事例集No.97-11	2014-12-08	法人税	トップに戻る 2 争点 本件各事業年度の損金の額に算入されていない本件売上原価額は存在するか否か。	https://www.kfs.go.jp/service/JP/97/11/index.html
97_13	裁決事例集No.97-13	2014-12-10	法人税,消費税	(5) 争点 イ 本件各更正通知書の理由付記に不備があり、違法となるか否か。	https://www.kfs.go.jp/service/JP/97/13/index.html
99_04	裁決事例集No.99-4	2015-06-09	法人税	（5） 争点 イ 本件事業年度末における期末棚卸高の算定に当たり、本件金員の額を本件未履行残高に相当する数量のf商品に係る取得価額に含めなかったことについて、隠ぺい又は仮装の行為があったか否か。	https://www.kfs.go.jp/service/JP/99/04/index.html
99_10	裁決事例集No.99-10	2015-06-01	法人税,消費税	（5） 争点 争点は、請求人が本件競売によって一括取得した本件土地及び本件競売建物の取得価額の算出はどのような方法により行い、また、当該取得価額はそれぞれ幾らであるかである。	https://www.kfs.go.jp/service/JP/99/10/index.html
99_11	裁決事例集No.99-11	2015-05-20	法人税	（5） 争点 イ 本件保有J持分について、施行令第68条第1項第2号ロに掲げる「その有価証券を発行する法人の資産状態が著しく悪化したため、その価額が著しく低下したこと」の事実が生じたと認められるか否か。	https://www.kfs.go.jp/service/JP/99/11/index.html
100_06	裁決事例集No.100-6	2015-07-28	法人税	（5） 争点 本件旅費交通費は、本件代表者に対する給与に該当するか否か。	https://www.kfs.go.jp/service/JP/100/06/index.html
100_07	裁決事例集No.100-7	2015-07-01	法人税	トップに戻る 2 争点 （1） 本件各修正申告書の提出は、通則法第65条第5項に規定する「その申告に係る国税についての調査があったことにより当該国税について更正があるべきことを予知してされたものでないとき」に該当するか否か。	https://www.kfs.go.jp/service/JP/100/07/index.html
102_03	裁決事例集No.102-3	2016-02-04	法人税	）が出資したとする任意組合が支出し、請求人が当該任意組合の事業の運用損益の計算において費用として計上した雑費が架空のものと認められるなどとして、請求人の法人税の更正処分及び重加算税の賦課決定処分をしたのに対し、請求人が、そのうち重加算税の賦課決定処分の全部の取消しを求めた事案であり、争点は、重加算税の計算の基礎となるべき税額の計算に誤りがあるか否かである。	https://www.kfs.go.jp/service/JP/102/03/index.html
102_09	裁決事例集No.102-9	2016-03-31	法人税	(5) 争点 イ 原処分に係る調査手続（以下「本件調査手続」という。	https://www.kfs.go.jp/service/JP/102/09/index.html
