id	source_kind	doc_code	doc_title	item_id	item_title	snippet	url	text_url	source_url
shitsugi_inshi:05-02	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	05-02	同一の号の課税事項が2以上記載されている文書の作成者	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/05-02.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/05-02.txt	https://www.nta.go.jp/law/shitsugi/inshi/05/02.htm
shitsugi_inshi:06-01	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-01	納税地の特定	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-01.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-01.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/01.htm
shitsugi_inshi:06-02	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-02	外国で作成される契約書	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-02.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-02.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/02.htm
shitsugi_inshi:06-03	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-03	印紙の消印の方法	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-03.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-03.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/03.htm
shitsugi_inshi:06-04	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-04	印紙を貼らないで印紙税を納付する方法	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-04.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-04.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/04.htm
shitsugi_inshi:06-05	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-05	誤って納付した印紙税の還付	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-05.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-05.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/05.htm
shitsugi_inshi:06-06	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-06	印紙税の還付請求権の消滅時効	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-06.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-06.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/06.htm
shitsugi_inshi:06-07	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-07	印紙の範囲	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-07.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-07.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/07.htm
shitsugi_inshi:06-08	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-08	税印押なつによる納付の特例	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-08.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-08.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/08.htm
shitsugi_inshi:06-09	shitsugi	shitsugi_inshi	質疑応答事例（印紙税）	06-09	印紙税納付計器による納付の特例	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/06-09.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_inshi/06-09.txt	https://www.nta.go.jp/law/shitsugi/inshi/06/09.htm
