id	source_kind	doc_code	doc_title	item_id	item_title	snippet	url	text_url	source_url
shitsugi_hojin:04-13	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	04-13	PFI事業(独立採算型)を行うに当たり有することとなる公共施設等運営権の取扱い	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/04-13.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/04-13.txt	https://www.nta.go.jp/law/shitsugi/hojin/04/13.htm
shitsugi_hojin:04-14	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	04-14	周波数移行に伴うソフトウェア修正費用の取扱い	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/04-14.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/04-14.txt	https://www.nta.go.jp/law/shitsugi/hojin/04/14.htm
shitsugi_hojin:04-15	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	04-15	老朽化地下貯蔵タンクに対する危険物流出防止対策費用に係る税務上の取扱い	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/04-15.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/04-15.txt	https://www.nta.go.jp/law/shitsugi/hojin/04/15.htm
shitsugi_hojin:04-16	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	04-16	中小企業者等が取得をした働き方改革に資する減価償却資産の中小企業経営強化税制（租税特別措置法第42条の12の4）の適用について	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/04-16.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/04-16.txt	https://www.nta.go.jp/law/shitsugi/hojin/04/16.htm
shitsugi_hojin:04-17	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	04-17	清算結了する場合におけるグループ法人税制で繰り延べた譲渡損益の取扱いについて	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/04-17.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/04-17.txt	https://www.nta.go.jp/law/shitsugi/hojin/04/17.htm
shitsugi_hojin:05-01	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-01	展示実演用機械	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-01.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-01.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/01.htm
shitsugi_hojin:05-02	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-02	貨車を倉庫等として使用する場合の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-02.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-02.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/02.htm
shitsugi_hojin:05-03	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-03	建物の一部分を取得した場合の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-03.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-03.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/03.htm
shitsugi_hojin:05-04	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-04	高層ビルを区分所有した場合の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-04.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-04.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/04.htm
shitsugi_hojin:05-05	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-05	アスファルトコンクリート敷の舗装道路の細目判定	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-05.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-05.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/05.htm
shitsugi_hojin:05-06	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-06	人工芝の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-06.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-06.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/06.htm
shitsugi_hojin:05-07	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-07	登録を要しない自動車の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-07.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-07.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/07.htm
shitsugi_hojin:05-08	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-08	自走式クローラダンプの耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-08.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-08.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/08.htm
shitsugi_hojin:05-09	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-09	ドア自動管理装置の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-09.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-09.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/09.htm
shitsugi_hojin:05-10	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-10	結婚式場用資産の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-10.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-10.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/10.htm
shitsugi_hojin:05-11	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-11	電気通信工事業者が有する機械設備の耐用年数	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-11.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-11.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/11.htm
shitsugi_hojin:05-12	shitsugi	shitsugi_hojin	質疑応答事例（法人税）	05-12	風力・太陽光発電システムの耐用年数について	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/05-12.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_hojin/05-12.txt	https://www.nta.go.jp/law/shitsugi/hojin/05/12.htm
