id	source_kind	doc_code	doc_title	item_id	item_title	snippet	url	text_url	source_url
shitsugi_shohi:22-17	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	22-17	特定新規設立法人の納税義務免除の特例（特殊関係法人の範囲）	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/22-17.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/22-17.txt	https://www.nta.go.jp/law/shitsugi/shohi/22/17.htm
shitsugi_shohi:22-18	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	22-18	外国法人が設立３期目以降に国内において事業を開始した場合の法第12条の２第１項の適用の有無	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/22-18.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/22-18.txt	https://www.nta.go.jp/law/shitsugi/shohi/22/18.htm
shitsugi_shohi:23-01	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	23-01	非居住者が提出した「消費税課税事業者選択届出書」の適用開始課税期間	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/23-01.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/23-01.txt	https://www.nta.go.jp/law/shitsugi/shohi/23/01.htm
shitsugi_shohi:23-02	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	23-02	信託受益権を相続した場合の基準期間の課税売上高の算定	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/23-02.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/23-02.txt	https://www.nta.go.jp/law/shitsugi/shohi/23/02.htm
shitsugi_shohi:23-03	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	23-03	中間申告における法第42条、第43条の併用	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/23-03.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/23-03.txt	https://www.nta.go.jp/law/shitsugi/shohi/23/03.htm
shitsugi_shohi:23-04	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	23-04	中間申告額がマイナスとなる場合	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/23-04.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/23-04.txt	https://www.nta.go.jp/law/shitsugi/shohi/23/04.htm
shitsugi_shohi:23-06	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	23-06	非居住者である外国法人に係る申告手続等の方法	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/23-06.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/23-06.txt	https://www.nta.go.jp/law/shitsugi/shohi/23/06.htm
shitsugi_shohi:23-07	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	23-07	前課税期間の確定消費税額がない場合の任意の中間申告	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/23-07.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/23-07.txt	https://www.nta.go.jp/law/shitsugi/shohi/23/07.htm
shitsugi_shohi:23-08	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	23-08	任意の中間申告書を提出する旨の届出書の効力	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/23-08.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/23-08.txt	https://www.nta.go.jp/law/shitsugi/shohi/23/08.htm
shitsugi_shohi:24-01	shitsugi	shitsugi_shohi	質疑応答事例（消費税）	24-01	匿名組合の出資者の持分の譲渡	法令等	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/24-01.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/text/shitsugi_shohi/24-01.txt	https://www.nta.go.jp/law/shitsugi/shohi/24/01.htm
