id	pid	page_start	page_end	snippet	core
bessatsu-preface	preface	1	5	別 冊 移転価格税制の適用に当たっての参考事例集 【留意事項】 本事例集は、移転価格事務運営要領（事務運営指針）の適用上のポイントを示す観点から、 一定の前提条件を置いた事例の下での移転価格税制上の取扱いを取りまとめたものである。 事例につ	packs/bessatsu-pack-00.txt
b-ex01	事例1	5	20	第一章 独立企業間価格の算定方法の選定に関する事例 (6) その他の事例 【事例１】（独立価格比準法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当たり独立価格比準法が最も適切な方法と認められる事例 ≪前提条件≫ ［取引関係図］ ［日	packs/bessatsu-pack-01.part-01.txt
b-ex02	事例2	21	22	第一章 独立企業間価格の算定方法の選定に関する事例 (5) 基本三法を適用する上での比較対象取引が複数ある場合において、それらの取引に係 【事例２】（再販売価格基準法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当たり再販売価格基準法	packs/bessatsu-pack-02.txt
b-ex03	事例3	23	24	第一章 独立企業間価格の算定方法の選定に関する事例 (5) 基本三法を適用する上での比較対象取引が複数ある場合において、それらの取引に係 【事例３】（原価基準法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当たり原価基準法が最も適切な	packs/bessatsu-pack-02.txt
b-ex04	事例4	25	32	第一章 独立企業間価格の算定方法の選定に関する事例 (5) 基本三法を適用する上での比較対象取引が複数ある場合において、それらの取引に係 【事例４】（独立価格比準法に準ずる方法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当たり独立価	packs/bessatsu-pack-03.txt
b-ex05	事例5	33	36	第一章 独立企業間価格の算定方法の選定に関する事例 (5) 基本三法を適用する上での比較対象取引が複数ある場合において、それらの取引に係 【事例５】（原価基準法に準ずる方法と同等の方法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当た	packs/bessatsu-pack-04.txt
b-ex06	事例6	37	44	第一章 独立企業間価格の算定方法の選定に関する事例 (2) 役務提供取引 【事例６】（取引単位営業利益法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当たり取引単位営業利益法（又は取引単位営業利益法に準ずる方法と 同等の方法）が最も適	packs/bessatsu-pack-05.txt
b-ex07	事例7	45	54	第一章 独立企業間価格の算定方法の選定に関する事例 (3) 営業費用売上総利益率に基づく方法 【事例７】（寄与度利益分割法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当たり寄与度利益分割法（又は寄与度利益分割法と同等の方法）が最 も	packs/bessatsu-pack-06.txt
b-ex08	事例8	55	57	第一章 独立企業間価格の算定方法の選定に関する事例 (3) 営業費用売上総利益率に基づく方法 【事例８】（残余利益分割法を用いる場合） ≪ポイント≫ 独立企業間価格の算定に当たり残余利益分割法に準ずる方法が最も適切な方法と認められる 事例 	packs/bessatsu-pack-07.txt
b-ex09	事例9	58	60	第一章 独立企業間価格の算定方法の選定に関する事例 (3) 営業費用売上総利益率に基づく方法 【事例９】（ディスカウント・キャッシュ・フロー法に準ずる方法と同等の方法を用いる場合） ≪ポイント≫ 無形資産の譲渡取引について、独立企業間価格の	packs/bessatsu-pack-07.txt
